record_id,pmid,doi,title,year,publication_types,screening_priority,triage_hints,abstract,title_abstract_decision,title_abstract_reason,full_text_status,full_text_decision,full_text_exclusion_reason,study_id,study_design,key_outcomes,notes
11,41827770,10.3390/cancers18050837,"Definition, Prevalence and Management of Dyslipidemia in Patients and Survivors of Childhood and Adolescent Cancer-A Systematic Review.",2026,,,,,exclude,未成年人群，不符合本次成人PICOS,,,,,,,
12,41309000,10.1016/j.ijcard.2025.134046,Eligibility for Icosapent ethyl in patients undergoing cardiac rehabilitation: A real-world cohort study.,2025,,,,,exclude,观察性或资格估算研究，不能回答本次随机干预功效问题,,,,,,,
13,41500861,10.1016/j.jacl.2025.12.007,"Efficacy and safety of highly purified ethyl icosapentate soft capsules (MND-21) for the treatment of severe hypertriglyceridemia: A 12-week, multi-center, placebo-controlled, randomized, double-blind, phase III clinical trial in China.",2025,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
14,41676815,10.31662/jmaj.2025-0177,Crossover Trial of Pemafibrate and Omega-3-Acid Ethyl Esters for Hypertriglyceridemia in Patients with Cardiovascular Disease.,2025,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
15,41514392,10.1186/s12906-026-05245-1,Efficacy of phospholipid-bound omega-3 versus standard omega-3 in patients with hypertriglyceridemia: a randomized clinical trial.,2026,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
16,41228467,10.3390/nu17213397,"Study Protocol and Baseline Cardiometabolic Characterization of the RIO-Study (Response to an Intervention with Omega-3): A Randomized, Double-Blind, Placebo-Controlled Crossover Trial on Lipid and Inflammatory Profiles in Overweight and Obese Adults with Hypertriglyceridemia in Valdivia, Chile.",2025,,,,,exclude,研究方案或基线报告，尚无可用于功效判断的结局数据,,,,,,,
17,41156531,10.3390/nu17203279,Marine-Based Omega-3 Fatty Acids and Metabolic Syndrome: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2025,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
18,41082023,10.1007/s11883-025-01345-4,Anti-apoC-III Therapies and Implications for Treatment of Pancreatitis and Cardiovascular Disease.,2025,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
19,40982548,10.1093/eurjpc/zwaf602,Benefit of Icosapent Ethyl Across Types and Sizes of Myocardial Infarction in REDUCE-IT.,2025,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
20,40718975,10.1714/4531.45338,[Real-world triglyceride levels in secondary prevention: insights from the JET-LDL registry].,2025,,,,,exclude,观察性或资格估算研究，不能回答本次随机干预功效问题,,,,,,,
21,40467382,10.1016/j.arteri.2025.500820,Icosapent ethyl: From the REDUCE-IT trial to clinical practice.,2025,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
22,40461364,10.1016/j.arteri.2025.500819,Cardiovascular prevention studies in a population with hypertriglyceridemia.,2025,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
23,40688627,10.4103/ijem.ijem_528_24,Fenofibrate in Metabolic Dysfunction-associated Steatotic Liver Disease: A Systematic Review and Meta-analysis.,2025,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
24,40164335,10.1016/j.jlr.2025.100791,Elevated high-density lipoprotein triglycerides increase atherosclerotic risk.,2025,,,,,exclude,观察性或资格估算研究，不能回答本次随机干预功效问题,,,,,,,
25,39754308,10.1177/00220345241298219,Metabolic Profiling of Individuals with Missing Teeth and Tooth Loss.,2025,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
26,40271305,10.7759/cureus.81104,"Effects of Pemafibrate and Eicosapentaenoic Acid Ethyl Ester on Endothelial Function in Patients With Hypertriglyceridemia and Coronary Artery Disease: A Study Protocol for a Multicenter, Open-Label Randomised Controlled Trial.",2025,,,,,exclude,研究方案或基线报告，尚无可用于功效判断的结局数据,,,,,,,
27,39163858,10.1016/j.medj.2024.07.024,"Impact of omega-3 fatty acids on hypertriglyceridemia, lipidomics, and gut microbiome in patients with type 2 diabetes.",2024,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
28,38777770,10.5551/jat.64896,Comparison of Efficacy between Pemafibrate and Omega-3-Acid Ethyl Ester in the Liver: the PORTRAIT Study.,2024,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
29,38716687,10.1515/dx-2024-0077,"n-3 fatty acids and the risk of atrial fibrillation, review.",2024,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
30,39376028,10.1002/cnr2.70025,Cytokine Release Syndrome Associated With Immune-Modulating Chemotherapy: Potential Mitigating Role of Intravenous Omega-3 Fatty Acid Triglycerides.,2024,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
31,38830807,10.1002/lipd.12406,"Efficacy and safety of omega-3-acid ethyl acetate 90 capsules in severe hypertriglyceridemia: A randomized, controlled, multicenter study.",2024,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
32,38552629,10.1016/j.medj.2024.03.009,Icosapent ethyl modulates circulating vascular regenerative cell content: The IPE-PREVENTION CardioLink-14 trial.,2024,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
33,38732508,10.3390/nu16091261,Validation of Nutritional Approaches to Modulate Cardiovascular and Diabetic Risk Factors in Patients with Hypertriglyceridemia or Prediabetes-The MoKaRi II Randomized Controlled Study.,2024,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
34,38237669,10.1016/j.tjnut.2024.01.007,"Fish Oil Supplementation Modifies the Proteome, Lipidome, and Function of High-Density Lipoprotein: Findings from a Trial in Young Healthy Adults.",2024,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
35,38256280,10.4274/tjps.galenos.2023.56958,Vitamin D was Superior to Omega-3 as a Simvastatin Adjuvant in Improving Blood Lipids and Atherogenic Index in Type-I Dyslipidemic Rats.,2024,,,,,exclude,非人体临床研究,,,,,,,
36,38288833,10.2174/011573403X272750240109052319,The Role of Triglycerides in Atherosclerosis: Recent Pathophysiologic Insights and Therapeutic Implications.,2024,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
37,37862823,10.1016/j.clnu.2023.10.007,Omega-3 fatty acids supplementation improves early-stage diabetic nephropathy and subclinical atherosclerosis in pediatric patients with type 1 diabetes: A randomized controlled trial.,2023,,,,,exclude,未成年人群，不符合本次成人PICOS,,,,,,,
38,37778442,10.1016/j.advnut.2023.09.010,Effect of Alpha-Linolenic Acid Supplementation on Cardiovascular Disease Risk Profile in Individuals with Obesity or Overweight: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
39,37774650,10.1016/j.clnu.2023.08.017,Immediate-release niacin and a monounsaturated fatty acid-rich meal on postprandial inflammation and monocyte characteristics in men with metabolic syndrome.,2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
40,37505399,10.1007/s11886-023-01926-2,"Fibrates, Hypertriglyceridemia, and CVD Risk: Where Do We Stand After the PROMINENT Trial for Triglyceride Lowering?",2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
41,37486464,10.1007/s40256-023-00594-5,Established and Emerging Lipid-Lowering Drugs for Primary and Secondary Cardiovascular Prevention.,2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
42,37384110,10.1016/j.ajpc.2023.100510,Generalizability of REDUCE-IT eligibility criteria in a large diabetes cardiovascular outcomes trial: A post hoc subgroup analysis of EMPA-REG outcome: Analysis of EMPA-REG OUTCOME using REDUCE-IT criteria.,2023,,,,,exclude,观察性或资格估算研究，不能回答本次随机干预功效问题,,,,,,,
43,37727395,10.18502/ijrm.v21i7.13889,Effects of single-dose and co-supplementation of vitamin D and omega-3 on metabolic profile in women with polycystic ovary syndrome: An RCT.,2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
44,37452000,10.46747/cfp.6907459,Indications for omega-3 fatty acid supplementation in prevention of cardiovascular disease: From fish to pharmaceuticals.,2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
45,37301827,10.1186/s12944-023-01838-8,"Icosapent ethyl therapy for very high triglyceride levels: a 12-week, multi-center, placebo-controlled, randomized, double-blinded, phase III clinical trial in China.",2023,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
46,37264945,10.1161/JAHA.123.029512,Association Between Omega-3 Fatty Acid Intake and Dyslipidemia: A Continuous Dose-Response Meta-Analysis of Randomized Controlled Trials.,2023,,,,,exclude,本记录是指定的历史证据基座本身，不作为截止日期后的独立更新证据重复计入,,,,,,,
47,37124732,10.3389/fendo.2023.1120364,Effect of long-chain omega-3 polyunsaturated fatty acids on cardiometabolic factors in children with acute lymphoblastic leukemia undergoing treatment: a secondary analysis of a randomized controlled trial.,2023,,,,,exclude,未成年人群，不符合本次成人PICOS,,,,,,,
48,36722448,10.1097/MED.0000000000000802,What is really new in triglyceride guidelines?,2023,,,,,exclude,叙述性综述或指南解读，不作为更新期直接功效证据,,,,,,,
49,36982461,10.3390/ijms24065390,Eicosapentaenoic and Docosahexaenoic Acid Supplementation Increases HDL Content in n-3 Fatty Acids and Improves Endothelial Function in Hypertriglyceridemic Patients.,2023,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
50,35676030,10.5551/jat.63587,Effect of Omega-3 Fatty Acid Supplementation on the Postprandial Metabolism of Apolipoprotein(a) in Familial Hypercholesterolemia.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
51,36880138,10.18087/cardio.2023.2.n2388,[Cardiovascular effects of omega-3 polyunsaturated fatty acids: position of omega-3 polyunsaturated fatty acids in Russian and international guidelines. Council of Experts].,2023,,,,,exclude,叙述性综述或指南解读，不作为更新期直接功效证据,,,,,,,
52,35953437,10.1093/ehjcvp/pvac045,Potential effects of icosapent ethyl on cardiovascular outcomes in cigarette smokers: REDUCE-IT smoking.,2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
53,36729217,10.1007/s11886-022-01831-0,Omega-3 Fatty Acids in Cardiovascular Disease and Diabetes: a Review of Recent Evidence.,2023,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
54,36760560,10.3389/fcvm.2023.1094100,"The effects of pemafibrate and omega-3 fatty acid ethyl on apoB-48 in dyslipidemic patients treated with statin: A prospective, multicenter, open-label, randomized, parallel group trial in Japan (PROUD48 study).",2023,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
55,36641259,10.1016/j.clinthera.2022.12.009,Does Omega-3 Fatty Acid Supplementation Have Favorable Effects on the Lipid Profile in Postmenopausal Women? A Systematic Review and Dose-response Meta-analysis of Randomized Controlled Trials.,2023,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
56,35781804,10.1002/cpdd.1130,"Pharmacokinetics of Icosapent Ethyl: An Open-Label, Multiple Oral Dose, Parallel Design Study in Healthy Chinese Subjects.",2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
57,36632258,10.7759/cureus.32346,Emphasis on Icosapent Ethyl for Cardiovascular Risk Reduction: A Systematic Review.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
58,36501174,10.3390/nu14235146,Update on Omega-3 Polyunsaturated Fatty Acids on Cardiovascular Health.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
59,36313109,10.3389/fnut.2022.1039056,The effect of omega-3 fatty acids and its combination with statins on lipid profile in patients with hypertriglyceridemia: A systematic review and meta-analysis of randomized controlled trials.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
60,35895246,10.1007/s11883-022-01052-4,Recent Updates in Hypertriglyceridemia Management for Cardiovascular Disease Prevention.,2022,,,,,exclude,叙述性综述或指南解读，不作为更新期直接功效证据,,,,,,,
61,36202740,10.1016/j.jacl.2022.09.002,"Long-term safety and efficacy of MND-2119 (self-emulsifying formulation of highly purified eicosapentaenoic acid ethyl ester) in patients with hypertriglyceridemia: Results from a multicenter, 52-week, open-label study.",2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
62,35963632,10.1016/j.ecl.2022.02.012,Big Fish or No Fish; Eicosapentaenoic Acid and Cardiovascular Disease.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
63,35913798,10.1080/00365513.2022.2102540,Reduced gut microbial diversity in familial hypercholesterolemia with no effect of omega-3 polyunsaturated fatty acids intervention - a pilot trial.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
64,35871058,10.1016/j.jacl.2022.06.007,"Efficacy and safety of self-emulsifying formulation of highly purified eicosapentaenoic acid ethyl ester (MND-2119) versus highly purified eicosapentaenoic acid ethyl ester in patients with hypertriglyceridemia: Results from a 12-week randomized, double-blind, active-controlled, phase 3 study.",2022,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
65,35304222,10.1016/j.pharmthera.2022.108172,Reducing residual cardiovascular risk in Europe: Therapeutic implications of European medicines agency approval of icosapent ethyl/eicosapentaenoic acid.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
66,35876118,10.1080/14779072.2022.2103541,Icosapent ethyl for reduction of persistent cardiovascular risk: a critical review of major medical society guidelines and statements.,2022,,,,,exclude,叙述性综述或指南解读，不作为更新期直接功效证据,,,,,,,
67,35877173,10.2196/37490,Use of Digital Technology Tools to Characterize Adherence to Prescription-Grade Omega-3 Polyunsaturated Fatty Acid Therapy in Postmyocardial or Hypertriglyceridemic Patients in the DIAPAsOn Study: Prospective Observational Study.,2022,,,,,exclude,研究方案或基线报告，尚无可用于功效判断的结局数据,,,,,,,
68,35389487,10.1093/jn/nxac084,A Randomized Trial of ω-3 Fatty Acid Supplementation and Circulating Lipoprotein Subclasses in Healthy Older Adults.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
69,35773147,10.1016/j.jacl.2022.05.067,Benefits of icosapent ethyl for enhancing residual cardiovascular risk reduction: A review of key findings from REDUCE-IT.,2022,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
